site,Time,depth,speed,vorticity,Fr,porpoise_present
1,2024/1/7 20:30,10.2083,0.616814,9.57E-05,0.061668654,0
1,2024/1/7 21:00,10.2082,0.61682,9.55E-05,0.061669556,0
1,2024/1/7 21:30,10.2081,0.616827,9.56E-05,0.061670558,0
1,2024/1/7 22:00,10.208,0.616834,9.55E-05,0.06167156,0
1,2024/1/7 22:30,10.2079,0.61684,9.56E-05,0.061672462,0
1,2024/1/7 23:00,10.2077,0.616847,9.54E-05,0.061673766,0
1,2024/1/7 23:30,10.2076,0.616853,9.56E-05,0.061674668,0
1,2024/1/8,10.2075,0.61686,9.55E-05,0.06167567,0
1,2024/1/8 00:30,10.2073,0.616807,9.54E-05,0.061670975,0
1,2024/1/8 01:00,10.2071,0.616713,9.55E-05,0.061662181,0
1,2024/1/8 01:30,10.2068,0.616614,9.55E-05,0.061653188,0
1,2024/1/8 02:00,10.2065,0.61652,9.54E-05,0.061644696,0
1,2024/1/8 02:30,10.2061,0.616426,9.54E-05,0.061636504,0
1,2024/1/8 03:00,10.2057,0.616333,9.52E-05,0.061628413,0
1,2024/1/8 03:30,10.2054,0.61624,9.51E-05,0.061620019,0
1,2024/1/8 04:00,10.2049,0.616147,9.51E-05,0.061612229,0
1,2024/1/8 04:30,10.2045,0.616055,9.50E-05,0.061604237,0
1,2024/1/8 05:00,10.204,0.615964,9.50E-05,0.061596646,0
1,2024/1/8 05:30,10.2036,0.615873,9.49E-05,0.061588754,0
1,2024/1/8 06:00,10.2031,0.615783,9.48E-05,0.061581262,0
1,2024/1/8 06:30,10.2026,0.615687,9.47E-05,0.06157317,0
1,2024/1/8 07:00,10.2021,0.615586,9.46E-05,0.061564578,0
1,2024/1/8 07:30,10.2016,0.615487,9.47E-05,0.061556186,0
1,2024/1/8 08:00,10.201,0.615392,9.47E-05,0.061548495,0
1,2024/1/8 08:30,10.2005,0.615301,9.47E-05,0.061540901,0
1,2024/1/8 09:00,10.1999,0.615211,9.46E-05,0.06153371,0
1,2024/1/8 09:30,10.1994,0.615121,9.44E-05,0.061526216,0
1,2024/1/8 10:00,10.1988,0.615032,9.44E-05,0.061519123,0
1,2024/1/8 10:30,10.1983,0.614943,9.43E-05,0.061511729,0
1,2024/1/8 11:00,10.1977,0.614854,9.43E-05,0.061504636,0
1,2024/1/8 11:30,10.1971,0.614766,9.42E-05,0.061497642,0
1,2024/1/8 12:00,10.1965,0.614677,9.40E-05,0.061490548,0
1,2024/1/8 12:30,10.1959,0.614589,9.40E-05,0.061483554,0
1,2024/1/8 13:00,10.1953,0.614501,9.39E-05,0.061476559,0
